Index,0 [0x0][0x0],1 [0x19][0x31],2 [0x5][0x8],3 [0x3][0x1a],4 [0x3][0x1b],5 [0x3][0x1c],6 [0x3][0x1d],7 [0x4][0x18],8 [0x5][0xa],9 [0x3][0x1e],10 [0x2][0x2d],11 [0x3][0x1f],12 [0x3][0x20],13 [0x1a][0x31],14 [0x2][0x2e],15 [0x1b][0x31],16 [0x1c][0x31],17 [0x1d][0x31],18 [0x1e][0x31],19 [0x1f][0x31],20 [0x20][0x31],21 [0x19][0x32],22 [0x1a][0x32],23 [0x1b][0x32],24 [0x2][0x2f],25 [0x1c][0x32],26 [0x1d][0x32],27 [0x3][0x21],28 [0x3][0x22],29 [0x3][0x23],30 [0x1e][0x32],31 [0x3][0x24],32 [0x5][0xc],33 [0x3][0x25],34 [0x5][0xe],35 [0x5][0x10],36 [0x1f][0x32],37 [0x5][0x12],38 [0x5][0x14],39 [0x3][0x26],40 [0x2][0x30],41 [0x3][0x27],42 [0x3][0x28],43 [0x5][0x16],44 [0x7][0x4],45 [0x3][0x29],46 [0x3][0x2a],47 [0x20][0x32],48 [0x19][0x33],49 [0x3][0x2b],50 [0x1a][0x33],51 [0x1b][0x33],52 [0x1c][0x33],53 [0x1d][0x33],54 [0x1e][0x33],55 [0x1f][0x33],56 [0x20][0x33],57 [0x19][0x34],58 [0x1a][0x34],59 [0x3][0x2c],60 [0x1b][0x34],61 [0x1c][0x34]
0,"",false,405,0,0,0,0,0,0,0,-1,0,0,false,0,false,false,false,false,false,false,false,false,false,0,true,true,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
1,"Key Item",false,405,8,0,2,0,85,1875,0,0,0,0,false,3,false,false,false,true,true,true,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,true
2,"Interaction",false,405,8,0,1,0,0,1875,0,0,0,0,false,3,false,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,0,0,0,0,0,0,0,1,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
3,"Sprint",false,405,10,0,0,0,368,1875,0,0,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,600,56,0,0,0,0,0,1,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,true
4,"Mount",false,405,5,0,2,0,165,1875,0,0,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,10,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,false,true,true,false,false,true,0,false,true
5,"Teleport",false,111,10,0,1,1,164,1875,0,0,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,0,0,0,0,0,0,4,1,0,false,false,0,false,false,true,false,true,true,false,false,true,0,true,true
6,"Return",false,112,10,0,1,2,163,1875,0,0,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,9000,57,0,0,0,0,1,1,0,false,false,0,false,false,true,false,true,true,false,false,true,0,true,true
7,"Attack",false,405,1,0,0,0,-1,1875,0,0,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,0,0,-1,7,0,0,0,1,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
8,"Shot",false,405,1,0,0,0,-2,1876,0,0,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,0,0,-1,7,0,0,0,0,0,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
9,"Fast Blade",false,158,3,0,0,0,310,1875,0,1,0,1,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
10,"Rampart",false,152,4,0,0,0,369,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
11,"Savage Blade",false,157,3,0,0,0,311,1875,0,1,0,4,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,9,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
12,"Convalescence",false,162,4,0,0,0,370,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
13,"Awareness",false,163,4,0,0,0,371,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
14,"Flash",false,159,2,0,29,3,441,1875,0,1,0,6,false,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,3,8,0,0,0,true,0,25,58,5,7,0,0,0,38,1,true,false,0,false,false,true,false,true,true,false,false,true,0,false,false
15,"Riot Blade",false,156,3,0,0,0,317,1875,0,1,0,10,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,9,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
16,"Shield Bash",false,154,3,0,0,0,315,1875,0,1,0,18,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,39,0,0,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
17,"Sentinel",false,151,4,0,0,0,372,1875,0,1,0,38,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,10,0,0,0,0,0,38,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
18,"Provoke",false,165,4,0,0,0,373,1875,0,-1,0,0,false,25,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,400,0,0,0,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
19,"Tempered Will",false,153,4,0,0,0,374,1875,0,1,0,42,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,11,0,0,0,0,0,38,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
20,"Fight or Flight",false,166,4,0,0,0,376,1875,0,1,0,2,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,600,6,0,0,0,0,0,38,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
21,"Rage of Halone",false,155,3,0,0,0,312,1875,0,1,0,26,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,11,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
22,"Bulwark",false,167,4,0,0,0,377,1875,0,1,0,46,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,12,0,0,0,0,0,38,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
